round_queries,300,600,3700
round_k,1,4,18
round_shots,200,300,100
round_queries,200,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,200,200,100
round_queries,200,600,3700
round_k,1,4,18
round_shots,200,300,100
round_queries,200,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,6,25
round_shots,500,200,100
round_queries,500,600,3500
round_k,1,4,17
round_shots,400,300,100
round_queries,400,900,3900
round_k,1,6,19
round_shots,200,300,100
round_queries,200,900,3900
round_k,1,6,19
round_shots,400,300,100
round_queries,400,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,4,18
round_shots,100,300,100
round_queries,100,900,3500
round_k,1,5,17
round_shots,600,300,100
round_queries,600,900,3900
round_k,1,5,19
round_shots,100,300,100
round_queries,100,900,2700
round_k,1,4,13
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,4,17
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,5,25
round_shots,200,300,100
round_queries,200,900,2700
round_k,1,4,13
round_shots,300,300,100
round_queries,300,900,4100
round_k,1,5,20
round_shots,300,300,100
round_queries,300,900,4700
round_k,1,4,23
round_shots,300,300,100
round_queries,300,900,2700
round_k,1,4,13
round_shots,300,300,100
round_queries,300,900,2700
round_k,1,4,13
round_shots,400,300,100
round_queries,400,900,3900
round_k,1,6,19
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,2700
round_k,1,4,13
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,4,18
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,6300
round_k,1,7,31
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,200,200,100
round_queries,200,600,3700
round_k,1,4,18
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,5,25
round_shots,500,300,100
round_queries,500,900,3500
round_k,1,5,17
round_shots,500,300,100
round_queries,500,900,3900
round_k,1,5,19
round_shots,100,300,100
round_queries,100,900,2700
round_k,1,4,13
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,500,300,100
round_queries,500,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,4100
round_k,1,5,20
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,5,24
round_shots,600,300,100
round_queries,600,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,5,25
round_shots,600,300,100
round_queries,600,900,2700
round_k,1,4,13
round_shots,300,300,100
round_queries,300,900,2700
round_k,1,4,13
round_shots,100,300,100
round_queries,100,900,5300
round_k,1,5,26
round_shots,200,300,100
round_queries,200,900,5300
round_k,1,5,26
round_shots,400,300,100
round_queries,400,900,5500
round_k,1,6,27
round_shots,500,300,100
round_queries,500,900,4100
round_k,1,6,20
round_shots,200,300,100
round_queries,200,900,2700
round_k,1,4,13
round_shots,200,300,100
round_queries,200,900,3900
round_k,1,5,19
round_shots,500,300,100
round_queries,500,900,5300
round_k,1,5,26
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,5,25
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,4700
round_k,1,6,23
round_shots,500,300,100
round_queries,500,900,4500
round_k,1,6,22
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,600,300,100
round_queries,600,900,5300
round_k,1,5,26
round_shots,100,300,100
round_queries,100,900,4100
round_k,1,5,20
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,5,25
round_shots,400,300,100
round_queries,400,900,4100
round_k,1,6,20
round_shots,200,200,100
round_queries,200,600,2700
round_k,1,4,13
round_shots,200,300,100
round_queries,200,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5300
round_k,1,5,26
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,6,25
round_shots,100,300,100
round_queries,100,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,100,300,100
round_queries,100,900,3900
round_k,1,6,19
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,600,300,100
round_queries,600,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,6,25
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,600,300,100
round_queries,600,900,5100
round_k,1,5,25
round_shots,800,100
round_queries,800,2700
round_k,4,13
round_shots,100,300,100
round_queries,100,900,2700
round_k,1,4,13
round_shots,400,300,100
round_queries,400,900,3900
round_k,1,5,19
round_shots,200,300,100
round_queries,200,900,2700
round_k,1,4,13
round_shots,500,300,100
round_queries,500,900,5300
round_k,1,6,26
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,500,300,100
round_queries,500,900,5100
round_k,1,6,25
round_shots,200,300,100
round_queries,200,900,3900
round_k,1,6,19
round_shots,700,100
round_queries,700,3700
round_k,4,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,6300
round_k,1,7,31
round_shots,200,200,100
round_queries,200,600,2700
round_k,1,4,13
round_shots,200,300,100
round_queries,200,900,4900
round_k,1,6,24
round_shots,200,300,100
round_queries,200,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,6,25
round_shots,200,300,100
round_queries,200,900,5300
round_k,1,5,26
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5300
round_k,1,6,26
round_shots,100,300,100
round_queries,100,900,6100
round_k,1,7,30
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,5,25
round_shots,200,300,100
round_queries,200,900,4900
round_k,1,6,24
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,4,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,5300
round_k,1,5,26
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,5300
round_k,1,5,26
round_shots,600,300,100
round_queries,600,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,4,18
round_shots,400,300,100
round_queries,400,900,4100
round_k,1,6,20
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,600,300,100
round_queries,600,900,2700
round_k,1,4,13
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,4,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,5,25
round_shots,500,300,100
round_queries,500,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,400,300,100
round_queries,400,900,5300
round_k,1,6,26
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,4100
round_k,1,5,20
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,6,25
round_shots,200,300,100
round_queries,200,900,4100
round_k,1,5,20
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,100,300,100
round_queries,100,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,400,300,100
round_queries,400,900,4700
round_k,1,6,23
round_shots,200,300,100
round_queries,200,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,5,25
round_shots,500,300,100
round_queries,500,900,3500
round_k,1,5,17
round_shots,400,200
round_queries,400,2600
round_k,1,6
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,400,200,100
round_queries,400,600,3700
round_k,1,4,18
round_shots,200,300,100
round_queries,200,900,5300
round_k,1,6,26
round_shots,400,300,100
round_queries,400,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,6,24
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,4500
round_k,1,6,22
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,600,300,100
round_queries,600,900,4500
round_k,1,6,22
round_shots,300,300,100
round_queries,300,900,4100
round_k,1,5,20
round_shots,800,100
round_queries,800,2700
round_k,4,13
round_shots,100,300,100
round_queries,100,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,300,200,100
round_queries,300,600,3700
round_k,1,4,18
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,500,300,100
round_queries,500,900,4700
round_k,1,6,23
round_shots,200,300,100
round_queries,200,900,3900
round_k,1,5,19
round_shots,200,200,100
round_queries,200,600,3700
round_k,1,4,18
round_shots,200,300,100
round_queries,200,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,4900
round_k,1,5,24
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,6,24
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,700,100
round_queries,700,3700
round_k,4,18
round_shots,400,300,100
round_queries,400,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,6,25
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,5300
round_k,1,5,26
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,4900
round_k,1,5,24
round_shots,200,200,100
round_queries,200,600,3700
round_k,1,4,18
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,400,300,100
round_queries,400,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,200,300,100
round_queries,200,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,300,300,100
round_queries,300,900,4100
round_k,1,6,20
round_shots,400,300,100
round_queries,400,900,5100
round_k,1,6,25
round_shots,500,300,100
round_queries,500,900,5300
round_k,1,5,26
round_shots,700,100
round_queries,700,3700
round_k,4,18
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,4,18
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,5,25
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,2700
round_k,1,4,13
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,4,18
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,3500
round_k,1,5,17
round_shots,300,300,100
round_queries,300,900,4100
round_k,1,5,20
round_shots,300,300,100
round_queries,300,900,3700
round_k,1,5,18
round_shots,600,100,100
round_queries,600,700,6300
round_k,3,10,31
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,3900
round_k,1,5,19
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,500,300,100
round_queries,500,900,3900
round_k,1,5,19
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,600,200,100
round_queries,600,600,2700
round_k,1,4,13
round_shots,700,300,100
round_queries,700,900,2700
round_k,1,4,13
round_shots,100,200,100
round_queries,100,600,3700
round_k,1,4,18
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,200,300,100
round_queries,200,900,3700
round_k,1,5,18
round_shots,100,300,100
round_queries,100,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,5,25
round_shots,500,300,100
round_queries,500,900,3700
round_k,1,5,18
round_shots,300,300,100
round_queries,300,900,5100
round_k,1,6,25
round_shots,300,300,100
round_queries,300,900,5300
round_k,1,5,26
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,6,24
round_shots,300,300,100
round_queries,300,900,4900
round_k,1,6,24
round_shots,400,300,100
round_queries,400,900,4900
round_k,1,6,24
round_shots,400,300,100
round_queries,400,900,6100
round_k,1,7,30
round_shots,600,300,100
round_queries,600,900,5300
round_k,1,5,26
round_shots,200,300,100
round_queries,200,900,3500
round_k,1,5,17
round_shots,400,300,100
round_queries,400,900,3700
round_k,1,5,18
round_shots,300,300,100
